Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
;;;2016;2017;2017;2017;2017;2017;2017;2017;2012-2016
"01001";"Flensburg, Stadt";"krsfr. Stadt";"9,47";"21,7";"461,0";"7,3";"4,1";"2,0";"8,0";"27,1";"-2,4"
"01002";"Kiel, Stadt";"krsfr. Stadt";"9,84";"23,0";"434,2";"6,7";"4,0";"1,7";"7,9";"31,5";"7,3"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"9,15";"21,7";"461,2";"6,8";"3,9";"1,8";"7,4";"27,3";"16,0"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"8,62";"16,4";"610,3";"6,2";"2,9";"1,5";"6,6";"32,8";"7,5"
"01051";"Dithmarschen";"Landkreis";"5,26";"12,8";"780,4";"6,6";"4,5";"0,8";"1,8";"21,7";"0,0"
"01053";"Herzogtum Lauenburg";"Landkreis";"3,14";"12,6";"793,8";"6,0";"4,1";"0,6";"4,0";"19,9";"12,7"
"01054";"Nordfriesland";"Landkreis";"4,39";"13,3";"752,1";"7,3";"5,6";"0,8";"3,8";"29,6";"-0,1"
"01055";"Ostholstein";"Landkreis";"8,24";"15,2";"657,7";"7,2";"4,8";"1,3";"5,5";"30,4";"-5,2"
"01056";"Pinneberg";"Landkreis";"3,11";"12,8";"779,7";"5,9";"3,6";"0,9";"4,8";"24,0";"0,1"
"01057";"Plön";"Landkreis";"1,93";"12,6";"795,3";"6,7";"4,2";"0,5";"5,4";"23,3";"10,2"
"01058";"Rendsburg-Eckernförde";"Landkreis";"4,11";"13,4";"746,0";"6,8";"4,7";"0,5";"5,4";"26,4";"-1,5"
"01059";"Schleswig-Flensburg";"Landkreis";"3,47";"11,6";"859,9";"6,8";"4,1";"0,7";"3,6";"24,1";"3,5"
"01060";"Segeberg";"Landkreis";"6,13";"11,8";"851,0";"6,0";"3,9";"0,7";"4,7";"21,9";"2,3"
"01061";"Steinburg";"Landkreis";"4,50";"13,6";"735,3";"6,4";"4,7";"0,8";"5,8";"25,8";"-6,2"
"01062";"Stormarn";"Landkreis";"4,72";"12,7";"784,7";"6,2";"4,0";"0,9";"4,6";"18,1";"0,0"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"6,93";"18,2";"549,2";"6,6";"3,7";"1,3";"5,6";"25,0";"6,3"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"8,07";"19,9";"503,1";"6,7";"4,1";"1,9";"7,6";"32,7";"-0,1"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"4,28";"16,9";"590,7";"6,2";"4,2";"1,4";"5,3";"31,6";"-9,9"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"4,44";"16,9";"590,1";"5,7";"3,2";"1,5";"7,7";"29,1";"-12,1"
"03151";"Gifhorn";"Landkreis";"2,51";"9,7";"1.036,0";"5,3";"3,7";"0,6";"2,7";"23,4";"1,2"
"03153";"Goslar";"Landkreis";"7,81";"14,7";"681,0";"7,0";"4,7";"1,5";"5,3";"40,0";"2,9"
"03154";"Helmstedt";"Landkreis";"8,54";"11,8";"849,3";"5,8";"3,2";"1,2";"2,6";"28,3";"5,4"
"03155";"Northeim";"Landkreis";"3,56";"14,1";"707,7";"7,8";"5,0";"0,8";"4,3";"30,1";"-2,1"
"03157";"Peine";"Landkreis";"2,32";"11,8";"849,5";"5,8";"3,4";"0,8";"4,7";"25,5";"-1,0"
"03158";"Wolfenbüttel";"Landkreis";"2,45";"11,4";"879,1";"5,7";"3,9";"0,8";"4,6";"25,7";"-3,3"
"03159";"Göttingen";"Landkreis";"10,34";"17,4";"575,5";"7,0";"5,0";"1,6";"5,2";"29,6";"-1,4"
"03241";"Region Hannover";"Landkreis";"6,17";"16,3";"613,1";"6,5";"4,0";"1,3";"5,1";"27,5";"-0,8"
"03251";"Diepholz";"Landkreis";"2,23";"10,3";"968,7";"5,4";"4,2";"0,8";"3,8";"26,9";"-0,6"
"03252";"Hameln-Pyrmont";"Landkreis";"7,45";"14,7";"680,3";"6,9";"4,2";"1,0";"3,7";"31,7";"4,2"
